"","ListingKey","Term","LoanOriginationDate","LoanOriginalAmount","MonthlyLoanPayment","ProsperScore","ProsperRisk"
"934","3E583594092369765509F3F","36",2013-11-22,7400,247.52,5,"3 <= Score <= 5"
"939","43AA359652704282910B4A2","36",2013-12-18,3500,123.4,5,"3 <= Score <= 5"
"941","43D93584640185972D2D228","36",2013-08-05,10000,370.57,3,"3 <= Score <= 5"
"946","44003589682848351729064","36",2013-09-19,7000,251.66,4,"3 <= Score <= 5"
"950","0A9C35867469452198E2C0B","36",2013-08-08,4000,163.56,2,"1 <= Score <= 2"
"954","0AB53592440017209F774C3","36",2013-11-04,8000,299.15,5,"3 <= Score <= 5"
"957","323C35940522262238D580E","36",2013-11-12,15000,553.64,2,"1 <= Score <= 2"
"964","328935795312325011A5168","36",2013-05-29,3000,101.07,8,"6 <= Score <= 8"
"965","329F35957494581885791EC","36",2013-12-02,15000,503.53,7,"6 <= Score <= 8"
"967","024235771825404935C2E32","60",2013-05-08,18500,402.14,8,"6 <= Score <= 8"
"968","02473569657548981381E6C","60",2013-02-21,13000,340.02,7,"6 <= Score <= 8"
"969","024C359581837625487637B","60",2013-12-18,15000,345.53,7,"6 <= Score <= 8"
"970","02503588328536962B91DB3","60",2013-08-29,10000,285.3,3,"3 <= Score <= 5"
"972","02613584221611441270808","36",2013-07-19,4000,160.44,2,"1 <= Score <= 2"
"975","3E733568883252899D08023","36",2013-01-24,2000,86.38,3,"3 <= Score <= 5"
"977","3E7B3584556553754C6282C","36",2013-08-09,15000,516.97,4,"3 <= Score <= 5"
"979","484A3596809367222AF7C53","60",2013-12-12,15000,398.24,6,"6 <= Score <= 8"
"981","485A3582421619702920A9F","60",2013-06-26,8500,216.72,3,"3 <= Score <= 5"
"982","48673590175643466463A7D","60",2013-10-10,4000,120.45,4,"3 <= Score <= 5"
"986","479A3585424993470B7F0BC","60",2013-08-13,4000,127.36,5,"3 <= Score <= 5"
"987","47B03595316615805A03B66","60",2013-11-27,15000,359.61,7,"6 <= Score <= 8"
"992","09D535719969938343F78E6","12",2013-03-01,4981,440.46,4,"3 <= Score <= 5"
"994","09E535939985665674B1873","36",2013-11-01,15000,487.54,4,"3 <= Score <= 5"
"996","09F83590616196103203AA7","36",2013-10-03,4000,172.76,2,"1 <= Score <= 2"
"998","0A053596042008404939E79","36",2013-11-29,10000,387.31,3,"3 <= Score <= 5"
"1001","32A6359674432028962C586","36",2013-12-09,4000,137.98,6,"6 <= Score <= 8"
"1002","32AA35966491030016E1114","36",2013-12-24,25000,877.08,6,"6 <= Score <= 8"
"1004","2E17358795283998052DC39","36",2013-09-18,4000,130.94,10,"Score >= 9"
"1012","01FF3576983535473F49EF9","36",2013-04-29,4000,158.87,2,"1 <= Score <= 2"
"1017","021E359544026607478823B","36",2013-11-26,7000,249.05,4,"3 <= Score <= 5"
"1020","356535790220836460FB171","36",2013-05-28,4000,161.99,2,"1 <= Score <= 2"
"1022","35683594374853628FF4636","36",2013-11-14,10000,387.62,3,"3 <= Score <= 5"
"1027","0A1B358974386711629A1B0","60",2013-09-30,10000,277.61,8,"6 <= Score <= 8"
"1028","0A2C359061157556008B0FE","60",2013-10-18,10000,248.26,6,"6 <= Score <= 8"
"1030","0A3435880030027306CD80B","36",2013-08-26,30000,1041.28,7,"6 <= Score <= 8"
"1032","0A443595594133217C1800E","60",2013-12-11,5000,130.81,4,"3 <= Score <= 5"
"1036","47CF35836391955978400A4","36",2013-07-23,12000,439.81,5,"3 <= Score <= 5"
"1043","43BA35889490266482DDD45","60",2013-09-25,20000,507.87,4,"3 <= Score <= 5"
"1047","2E3A3594728148214D8C338","36",2013-11-29,2000,66.8,8,"6 <= Score <= 8"
"1051","2E863590327815970834AFC","36",2013-09-19,4000,163.28,3,"3 <= Score <= 5"
"1052","2E8E3573112288791EACED3","36",2013-03-18,15000,520.64,5,"3 <= Score <= 5"
"1055","022C357999795495078DC45","60",2013-05-22,8000,238.53,3,"3 <= Score <= 5"
"1058","02163571984609097EE595B","60",2013-03-04,10000,276.7,4,"3 <= Score <= 5"
"1060","022835943645842807A790A","36",2013-12-20,10000,352.56,3,"3 <= Score <= 5"
"1062","35943597640456262624A0D","36",2013-12-27,15000,501.01,8,"6 <= Score <= 8"
"1069","35A43586339373116BA3266","36",2013-10-04,15000,491.01,9,"Score >= 9"
"1075","0A5735805705300415EBA02","36",2013-06-20,20000,737.07,4,"3 <= Score <= 5"
"1079","08D73596125671567C0E3C4","36",2013-12-03,5000,171.74,4,"3 <= Score <= 5"
"1080","43C03596191773119109637","36",2013-12-13,20000,619.01,10,"Score >= 9"
"1088","3FD33581102163875B28F41","60",2013-06-28,10000,223.41,8,"6 <= Score <= 8"
"1089","2E923592289439233211610","36",2013-10-09,4000,169.78,2,"1 <= Score <= 2"
"1090","2E973595380090624141224","60",2013-12-30,15000,354.1,5,"3 <= Score <= 5"
"1093","2EC03579941981546A2E485","60",2013-05-29,19000,479.28,5,"3 <= Score <= 5"
"1094","2EC635815694779360E6282","36",2013-06-27,6000,186.89,8,"6 <= Score <= 8"
"1095","2EC635885737984509D5366","60",2013-10-21,10000,244.24,6,"6 <= Score <= 8"
"1098","02363593768686462D877F1","60",2013-11-08,24000,573.48,10,"Score >= 9"
"1100","024A35971067004316DBB6F","36",2013-12-11,15000,550.22,3,"3 <= Score <= 5"
"1107","486F3595592225031846F2D","60",2013-12-13,15000,354.1,9,"Score >= 9"
"1109","48713596217312804717C6E","36",2013-12-16,3000,115.12,3,"3 <= Score <= 5"
"1110","48773567357256767602F31","36",2013-01-09,2000,72.04,5,"3 <= Score <= 5"
"1111","487D359203239474152EC0C","60",2013-10-24,15000,360.8,5,"3 <= Score <= 5"
"1112","4884358928040549915D091","60",2013-09-24,5000,150.56,4,"3 <= Score <= 5"
"1113","48913569931338738CE69E6","60",2013-02-05,12000,345.08,2,"1 <= Score <= 2"
"1126","3FE93595717671421F2007E","36",2013-12-26,3000,121.26,3,"3 <= Score <= 5"
"1129","43E235901451363021A6739","60",2013-10-18,15000,358.43,7,"6 <= Score <= 8"
"1134","2EE0358036162993320BA91","60",2013-06-05,10000,229.28,8,"6 <= Score <= 8"
"1136","2EF73583849271381BF8C30","60",2013-07-18,10000,233.67,6,"6 <= Score <= 8"
"1144","02723581569378951AFD9DE","60",2013-06-26,10000,252.25,6,"6 <= Score <= 8"
"1151","02543594453340460A6EC55","36",2013-11-19,10000,345.92,5,"3 <= Score <= 5"
"1152","42CF358470183550246BF72","36",2013-08-14,6000,200.69,6,"6 <= Score <= 8"
"1153","42D53585271406917B04FAF","36",2013-08-08,15000,544.09,4,"3 <= Score <= 5"
"1154","42E13597205647526F425AD","36",2013-12-27,8000,249.55,11,"Score >= 9"
"1157","42FC35877655107077F990F","36",2013-08-22,4000,155.8,2,"1 <= Score <= 2"
"1165","09F135786395904952F8B5B","36",2013-05-24,15000,566.98,4,"3 <= Score <= 5"
"1167","0A043582554436102ECB10E","60",2013-06-26,4000,126.04,6,"6 <= Score <= 8"
"1169","0A1435952473693548D133F","60",2013-11-27,10000,263.83,5,"3 <= Score <= 5"
"1171","44203597696960028EA5C6B","36",2013-12-23,4000,166.54,2,"1 <= Score <= 2"
"1175","444335875634262185AF8A4","36",2013-09-05,22500,790.92,6,"6 <= Score <= 8"
"1177","44553589313175597423AF5","36",2013-09-26,10000,408.2,4,"3 <= Score <= 5"
"1178","446735790721487204FC44E","60",2013-05-17,10000,233.67,7,"6 <= Score <= 8"
"1184","2E873591437030639C2D7E1","60",2013-10-16,4000,116.68,4,"3 <= Score <= 5"
"1187","2E99358031475847213FABC","60",2013-05-28,3500,89.24,6,"6 <= Score <= 8"
"1191","02893591514632624D1BA15","60",2013-10-16,5000,125.07,4,"3 <= Score <= 5"
"1196","0299358513415677752D2B9","36",2013-08-02,17000,597.59,7,"6 <= Score <= 8"
"1199","3749358943808930867060F","36",2013-09-20,10000,408.2,6,"6 <= Score <= 8"
"1201","375D3567489256081C4B4B5","36",2013-01-25,5000,194.75,4,"3 <= Score <= 5"
"1205","376E3591003918327172B8D","60",2013-10-15,15000,348.95,5,"3 <= Score <= 5"
"1206","7FD13587436726531AB9A75","36",2013-08-22,9000,312.38,7,"6 <= Score <= 8"
"1207","7FD2358691596940174C16B","60",2013-08-14,5000,111.7,9,"Score >= 9"
"1215","0A193591253849840BCF49E","36",2013-12-05,15000,568.98,1,"1 <= Score <= 2"
"1216","0A2F3582024402966CFDBFD","60",2013-06-24,4000,114.12,5,"3 <= Score <= 5"
"1221","0A6835975291028104DB5BE","36",2013-12-18,25000,844.04,10,"Score >= 9"
"1224","447E359089174351146F6CA","36",2013-10-02,35000,1196.05,9,"Score >= 9"
"1227","44943594008092803EB1450","36",2013-11-06,4000,168.17,2,"1 <= Score <= 2"
"1228","449D3597006562109268896","36",2013-12-17,7000,260.5,4,"3 <= Score <= 5"
"1231","44AF35848533000402005F8","36",2013-07-24,4000,165.15,2,"1 <= Score <= 2"
"1241","30093595885320559EF83C3","60",2013-12-17,20000,448.84,8,"6 <= Score <= 8"
"1245","02A1357555727161395F5F7","36",2013-04-22,17500,652.06,5,"3 <= Score <= 5"
"1253","377F3596597198735DA87AD","36",2013-12-11,8000,293.45,4,"3 <= Score <= 5"
"1256","37823591883331442590543","36",2013-10-17,11000,380.51,8,"6 <= Score <= 8"
"1258","378B3584551418389EE126E","36",2013-07-23,9900,326.6,8,"6 <= Score <= 8"
"1261","09EF359379650084248C120","36",2013-11-04,15000,563.97,4,"3 <= Score <= 5"
"1265","09F73586247120990825B90","60",2013-08-16,10000,233.67,7,"6 <= Score <= 8"
"1266","09FC3565974579963682E25","60",2013-01-15,25000,594.62,9,"Score >= 9"
"1268","0A923594905888377E752DC","60",2013-11-26,8000,197.1,7,"6 <= Score <= 8"
"1274","6D89359735894285641D9BA","60",2013-12-13,13000,327.64,6,"6 <= Score <= 8"
"1277","6D8F3581139721586BE4F4D","36",2013-06-04,4000,161.99,2,"1 <= Score <= 2"
"1280","44C835883470759651F8069","36",2013-09-19,4000,172.76,3,"3 <= Score <= 5"
"1281","44CC35955627464501C778D","36",2013-12-18,20000,668.02,6,"6 <= Score <= 8"
"1282","44D0357906158016410A702","36",2013-05-20,4000,155.8,2,"1 <= Score <= 2"
"1284","44D2356746114576030D964","60",2013-01-23,4000,126.85,2,"1 <= Score <= 2"
"1288","301E3583637620354EA3A7F","36",2013-07-18,8500,331.07,3,"3 <= Score <= 5"
"1292","318B3567210342736779080","36",2013-01-17,15000,572.78,7,"6 <= Score <= 8"
"1293","318C35952193840510A9359","36",2013-11-27,4000,150.29,5,"3 <= Score <= 5"
"1296","021C3593633962383D1B711","36",2013-11-06,3400,122.24,5,"3 <= Score <= 5"
"1297","021F3593082999771F5E621","36",2013-12-18,10000,322.2,9,"Score >= 9"
"1298","02243594680734164330FCF","36",2013-11-12,5000,174.55,6,"6 <= Score <= 8"
"1299","026135965637546314F8C15","60",2013-12-19,33750,791.44,7,"6 <= Score <= 8"
"1300","026F3572789049647801C33","60",2013-03-19,13000,343.26,6,"6 <= Score <= 8"
"1303","0A9B3580803072899D2E9EE","60",2013-06-25,10000,254.97,5,"3 <= Score <= 5"
"1308","0BBF3583085990580B7C1B6","60",2013-06-28,15000,354.81,4,"3 <= Score <= 5"
"1309","0BC3358820258085097D4E1","60",2013-10-04,10000,269.69,5,"3 <= Score <= 5"
"1312","432D35918688389223FB5B7","36",2013-10-17,10000,365.05,5,"3 <= Score <= 5"
"1315","433C3583976735635FBFE12","36",2013-07-30,4000,163.56,2,"1 <= Score <= 2"
"1316","434B35784260629054F5C0E","60",2013-06-06,18000,486.86,3,"3 <= Score <= 5"
"1318","435E3584717769979AD7CF0","60",2013-07-22,4000,103.19,5,"3 <= Score <= 5"
"1319","43753594921036510983F36","60",2013-12-05,4500,107.53,9,"Score >= 9"
"1323","6DD33578991904766A28955","36",2013-05-22,15000,537.33,4,"3 <= Score <= 5"
"1335","401A3596409697596EDC406","60",2013-12-12,16000,339.17,10,"Score >= 9"
"1336","401A3596753454585D0590A","36",2013-12-30,8000,265.29,8,"6 <= Score <= 8"
"1339","31B2359079134869624FF1E","60",2013-10-16,10000,318.94,3,"3 <= Score <= 5"
"1340","31B335811394301079FD1B5","60",2013-06-28,15000,318.63,7,"6 <= Score <= 8"
"1341","31B73583855220489964B51","60",2013-07-11,4000,127.36,3,"3 <= Score <= 5"
"1346","303C359772004466692CB70","36",2013-12-24,12000,425.15,4,"3 <= Score <= 5"
"1356","027D3590181745597D2AD0B","60",2013-10-01,14000,344.93,4,"3 <= Score <= 5"
"1358","029F35969041596304EB12B","36",2013-12-12,3000,99.49,5,"3 <= Score <= 5"
"1365","438135766930533183B75DA","36",2013-04-26,7000,242.97,5,"3 <= Score <= 5"
"1369","439A359416162414840F4E2","36",2013-11-18,35000,1162.33,10,"Score >= 9"
"1371","43A435906917688625E0ABA","60",2013-09-24,35000,841.86,9,"Score >= 9"
"1372","43A73582298280518214117","36",2013-06-25,2500,91.63,5,"3 <= Score <= 5"
"1375","5C88359630676085641F42C","60",2013-12-09,10000,236.07,6,"6 <= Score <= 8"
"1380","7B22358909824432888A960","60",2013-09-26,10000,257.76,6,"6 <= Score <= 8"
"1381","7B293577330398716EF7517","36",2013-05-06,13000,516.33,8,"6 <= Score <= 8"
"1384","404B35717473747767DF5C0","36",2013-02-26,15000,509.68,6,"6 <= Score <= 8"
"1387","40503586951554636621A32","60",2013-08-30,7500,189.19,6,"6 <= Score <= 8"
"1390","40573597509369906E1A2D1","36",2013-12-24,20000,627.56,8,"6 <= Score <= 8"
"1391","30413594087319317FC9CDB","60",2013-11-07,6000,171.88,4,"3 <= Score <= 5"
"1399","307935933606550109E1BE9","36",2013-11-15,15000,474.83,9,"Score >= 9"
"1400","0B8835967490148615965D5","60",2013-12-19,15000,326.06,9,"Score >= 9"
"1403","0A023589049714069C6CE98","36",2013-09-05,2100,86.7,2,"1 <= Score <= 2"
"1406","0A17359577407235277BFA0","36",2013-12-11,15000,497.43,5,"3 <= Score <= 5"
"1409","0297359550131611419920A","36",2013-11-20,15000,560.9,4,"3 <= Score <= 5"
"1411","02A13568164737379674D01","60",2013-01-23,6500,170.01,5,"3 <= Score <= 5"
"1420","43C23578902438017FBDB8C","60",2013-05-13,4000,124.76,4,"3 <= Score <= 5"
"1422","43D2357078709786462DA0E","36",2013-02-12,5000,168.45,8,"6 <= Score <= 8"
"1423","43D43593647065630AD6425","60",2013-10-30,35000,836.33,9,"Score >= 9"
"1428","7B473573066296139D91D23","36",2013-03-18,15000,482.18,9,"Score >= 9"
"1433","6E6D35787280791113D1550","60",2013-05-23,10000,242.07,6,"6 <= Score <= 8"
"1434","6E7035968633142000D49A0","60",2013-12-12,9000,238.95,2,"1 <= Score <= 2"
"1435","6E873578388424679EA4C23","36",2013-05-24,3000,116.85,4,"3 <= Score <= 5"
"1455","0AE2359276114191627380C","36",2013-11-12,10000,325.02,8,"6 <= Score <= 8"
"1458","0AEC3584463811098F37035","36",2013-08-12,6500,246.86,9,"Score >= 9"
"1461","0B183592852839153D6FDB8","36",2013-11-13,8000,261.87,11,"Score >= 9"
"1462","03AB35796514589268F0458","36",2013-06-03,4000,165.15,2,"1 <= Score <= 2"
"1464","03B63581087960209FB6BCE","60",2013-06-26,6500,136.48,10,"Score >= 9"
"1466","033635763137480066E457D","60",2013-04-23,15000,405.72,10,"Score >= 9"
"1467","033935975052618643B3A47","60",2013-12-12,10000,221.89,10,"Score >= 9"
"1468","03433590081167780324937","60",2013-10-03,5000,133.72,7,"6 <= Score <= 8"
"1470","43E835955033665686E25D3","36",2013-12-11,5000,165.81,10,"Score >= 9"
"1471","43EA3588476453945D67E98","36",2013-09-16,8500,268.28,8,"6 <= Score <= 8"
"1473","43ED3582296607997C0C1C2","60",2013-07-09,4000,131.78,3,"3 <= Score <= 5"
"1475","43F3358221700432360AAF4","60",2013-07-09,15000,412.49,3,"3 <= Score <= 5"
"1476","43F53598223087016B7C7CF","60",2013-12-19,4000,94.43,6,"6 <= Score <= 8"
"1477","43FE3587080960774BE2C45","60",2013-08-30,15000,390.26,6,"6 <= Score <= 8"
"1478","44093596129438717F3C2AF","36",2013-12-02,4000,166.54,2,"1 <= Score <= 2"
"1481","6E9635703997534949ED6C5","36",2013-02-13,8000,314.66,4,"3 <= Score <= 5"
"1482","6EA53579722259167068786","36",2013-07-01,35000,1163,9,"Score >= 9"
"1483","5D4B3572028593409600559","36",2013-02-28,9000,350.55,4,"3 <= Score <= 5"
"1484","5D51359391433428275815C","36",2013-11-19,15000,555.93,3,"3 <= Score <= 5"
"1487","5D543582900197276FCFFF6","36",2013-07-18,5000,183.25,3,"3 <= Score <= 5"
"1489","409D35875308384468580D6","36",2013-08-30,15000,505.34,6,"6 <= Score <= 8"
"1494","379C3597523137342024058","36",2013-12-27,4000,154.92,3,"3 <= Score <= 5"
"1496","37B135804065550864AE252","36",2013-06-28,10000,377.98,3,"3 <= Score <= 5"
"1500","30BF3580752808856D45B93","36",2013-06-13,4000,137.86,5,"3 <= Score <= 5"
"1501","30C0358084995188901B36F","36",2013-06-19,8500,334.33,5,"3 <= Score <= 5"
"1502","30CF35943283701387B8E53","36",2013-11-13,20000,640.57,7,"6 <= Score <= 8"
"1504","30D535750650746887EE745","60",2013-05-07,25000,621.18,7,"6 <= Score <= 8"
"1506","0B22359310225458777DBFD","36",2013-11-14,10000,370.62,5,"3 <= Score <= 5"
"1508","0B8C35925193683816205EB","36",2013-10-16,19000,612.18,10,"Score >= 9"
"1512","0B963579297248707226182","60",2013-05-24,12000,286.68,6,"6 <= Score <= 8"
"1515","03483586867626472CDC775","36",2013-08-27,8000,282.8,6,"6 <= Score <= 8"
"1518","035335836251863369279DB","60",2013-07-17,13000,314.69,6,"6 <= Score <= 8"
"1523","036D35828110680794E5213","36",2013-07-15,4000,172.76,3,"3 <= Score <= 5"
"1533","5D5B3590836785450B4934D","36",2013-10-09,4000,145.41,4,"3 <= Score <= 5"
"1537","81AD3595685301514E9D3BA","36",2013-12-12,4000,168.15,2,"1 <= Score <= 2"
"1538","81B4358347461912405F42F","36",2013-07-24,6000,202.13,8,"6 <= Score <= 8"
"1539","81C03581507546213F3EFAD","60",2013-06-28,4000,130.2,3,"3 <= Score <= 5"
"1553","30F9358670168962923811D","36",2013-08-22,12000,413.58,4,"3 <= Score <= 5"
"1554","311A3594645871691990C4E","36",2013-11-20,15000,537.03,7,"6 <= Score <= 8"
"1557","2D333566861135667E85B30","60",2013-01-15,6000,148.92,7,"6 <= Score <= 8"
"1558","0BA2357170305576650F316","36",2013-02-26,4000,172.76,4,"3 <= Score <= 5"
"1562","0BBE3594533412999D169DB","36",2013-11-29,8000,293.45,4,"3 <= Score <= 5"
"1563","0BCD3593331291183C687F1","36",2013-11-13,10000,339.3,4,"3 <= Score <= 5"
"1565","0C0B3577695679124705B25","60",2013-05-07,20000,429.78,8,"6 <= Score <= 8"
"1567","036E357780218161628B5B2","60",2013-05-15,25000,597.24,8,"6 <= Score <= 8"
"1569","037535972816899308C902D","36",2013-12-12,25000,866.63,7,"6 <= Score <= 8"
"1574","02D5359374897139396E264","60",2013-11-26,10000,263.83,5,"3 <= Score <= 5"
"1578","446535938033519873BE979","36",2013-12-05,10000,327.34,6,"6 <= Score <= 8"
"1579","44683588960492949435AE6","60",2013-09-12,3000,84.74,7,"6 <= Score <= 8"
"1580","447F358469640132649E8E4","60",2013-07-25,10000,242.07,5,"3 <= Score <= 5"
"1582","448A3580623494231FC5201","36",2013-06-24,19000,583.72,10,"Score >= 9"
"1597","380035830084854248D5C35","36",2013-06-26,4000,160.44,2,"1 <= Score <= 2"
"1598","38043594379901009A203CD","60",2013-11-26,15000,404.54,4,"3 <= Score <= 5"
"1601","381D3582805936417256792","36",2013-07-19,4000,151.19,3,"3 <= Score <= 5"
"1603","2D3535927965818440A49AB","36",2013-10-16,4000,171.45,2,"1 <= Score <= 2"
"1606","2D5E3573211844177F191A2","36",2013-03-18,3500,136.32,3,"3 <= Score <= 5"
"1608","311C359553446107203B214","36",2013-12-16,4000,166.54,3,"3 <= Score <= 5"
"1611","0C29359498275289394A682","36",2013-11-20,5000,178.14,5,"3 <= Score <= 5"
"1612","0B053593134918385B030DB","60",2013-11-13,25000,655.41,8,"6 <= Score <= 8"
"1617","0B203576136260863619955","60",2013-06-10,4000,117.55,3,"3 <= Score <= 5"
"1619","02E33586786925219327F0E","60",2013-08-26,15000,447.24,3,"3 <= Score <= 5"
"1620","02E33592920729418FA80C0","36",2013-10-23,10000,363.53,3,"3 <= Score <= 5"
"1622","02EF3589081994124ED3065","60",2013-09-24,15000,348.95,8,"6 <= Score <= 8"
"1626","030B35849836169875E76C2","36",2013-07-25,15000,501.73,5,"3 <= Score <= 5"
"1631","4B5F35760547754631E4B4F","36",2013-04-18,15000,513.68,7,"6 <= Score <= 8"
"1637","700335888145900645708E2","60",2013-09-24,7500,211.86,7,"6 <= Score <= 8"
"1645","6532359225174425940531C","36",2013-10-23,2000,82.39,2,"1 <= Score <= 2"
"1646","39B23569651077951B2E7AF","36",2013-03-28,4000,161.99,2,"1 <= Score <= 2"
"1647","39B43575092538810DFC603","36",2013-07-25,10000,326.87,8,"6 <= Score <= 8"
"1649","39B935747635969280483C5","60",2013-03-27,15000,372.71,7,"6 <= Score <= 8"
"1652","39C235847388989558F30EC","36",2013-08-12,18000,636.3,4,"3 <= Score <= 5"
"1655","0B323571136339092881128","36",2013-03-21,6000,213.29,5,"3 <= Score <= 5"
"1657","0B6C359437485849947FF9B","60",2013-11-13,7000,179.28,4,"3 <= Score <= 5"
"1658","0B703579686227639849720","60",2013-06-03,15000,363.1,7,"6 <= Score <= 8"
"1660","0B863574984199130CEA006","60",2013-04-15,10000,275,5,"3 <= Score <= 5"
"1670","319B358804926325103B4A3","60",2013-08-21,3500,86.97,7,"6 <= Score <= 8"
"1674","032E3593091174592658BC8","60",2013-10-31,4100,101.02,7,"6 <= Score <= 8"
"1680","400F3596793753487CD1953","36",2013-12-13,10000,341.78,6,"6 <= Score <= 8"
"1689","653A3584311478776AE6E94","36",2013-07-19,15000,566.98,4,"3 <= Score <= 5"
"1690","653C35906755762668F0A3C","36",2013-10-09,10000,411.96,4,"3 <= Score <= 5"
"1691","65423592502050781E5BF59","36",2013-10-30,15000,498.14,8,"6 <= Score <= 8"
"1698","0BAF3582830315774DB17E8","60",2013-07-02,13000,290.43,8,"6 <= Score <= 8"
"1700","0AF035943343253554DAA58","36",2013-12-06,12000,374.32,10,"Score >= 9"
"1701","0AF635954589309543DEF94","36",2013-12-06,4000,140.33,8,"6 <= Score <= 8"
"1708","39D83576018401359F101B0","36",2013-04-12,15000,509.68,5,"3 <= Score <= 5"
"1710","39FD359387100132961A33D","36",2013-11-15,15000,474.83,7,"6 <= Score <= 8"
"1722","31BA35881918866077983CF","60",2013-09-20,15000,393.25,4,"3 <= Score <= 5"
"1726","03663580446478791F3D1B3","36",2013-06-26,15000,565.05,5,"3 <= Score <= 5"
"1727","03673575038998871088ED2","60",2013-04-02,13000,331.46,7,"6 <= Score <= 8"
"1734","478E3586125176287057D03","60",2013-08-16,4000,128.65,2,"1 <= Score <= 2"
"1736","47943589878218367FCD641","36",2013-10-16,4000,161.78,5,"3 <= Score <= 5"
"1739","47B03592122521363800F48","36",2013-10-29,10000,359.52,8,"6 <= Score <= 8"
"1740","47B33584303707552198965","36",2013-07-19,4000,158.87,7,"6 <= Score <= 8"
"1746","0B5235743905564424AC20E","36",2013-03-26,15000,547.11,5,"3 <= Score <= 5"
"1748","0B5435915310693045EDAF7","60",2013-10-16,15000,410.45,4,"3 <= Score <= 5"
"1751","8A63358328805214739B8C3","36",2013-07-18,4000,165.15,2,"1 <= Score <= 2"
"1752","8A6F3577760721751C1AA3D","36",2013-05-13,4000,161.99,2,"1 <= Score <= 2"
"1771","364E35817523066066E9125","36",2013-06-24,4000,165.15,2,"1 <= Score <= 2"
"1772","364E3589083053111EF03EA","36",2013-09-27,10000,367.32,3,"3 <= Score <= 5"
"1775","365C3597105304724C3189E","36",2013-12-05,18456,670.95,4,"3 <= Score <= 5"
"1779","314A357363137181794E0C4","36",2013-03-25,6000,208.26,5,"3 <= Score <= 5"
"1780","31543575981512877E80816","60",2013-04-18,15000,358.35,7,"6 <= Score <= 8"
"1784","3162357410841752567E538","36",2013-03-19,4000,157.33,3,"3 <= Score <= 5"
"1785","035A3574300979668CEB860","36",2013-03-20,4000,161.99,3,"3 <= Score <= 5"
"1787","036D3582794251142F0CA09","36",2013-07-19,10000,362.73,5,"3 <= Score <= 5"
"1788","0371357906779127400B559","36",2013-05-24,10000,358.22,3,"3 <= Score <= 5"
"1794","0B773595664475972F569EB","36",2013-12-09,20000,619.01,10,"Score >= 9"
"1795","0B803567035551198E32A75","36",2013-01-22,4000,149.65,4,"3 <= Score <= 5"
"1796","0B86359273380907271F82D","60",2013-10-21,10000,305.29,3,"3 <= Score <= 5"
"1797","0B70358860334619970CF5E","36",2013-08-30,4000,166.73,2,"1 <= Score <= 2"
"1798","0B723589337955184353BFC","36",2013-10-07,4500,157.1,4,"3 <= Score <= 5"
"1801","0B81359040888701475B4C5","36",2013-10-02,11500,449.91,4,"3 <= Score <= 5"
"1804","4B7E3590031274113F1FD34","36",2013-10-01,4000,172.76,3,"3 <= Score <= 5"
"1806","4B8F3579494293534B78F37","36",2013-05-15,2000,86.38,5,"3 <= Score <= 5"
"1811","4BAC358723198223392C3F2","36",2013-08-28,10000,355.48,4,"3 <= Score <= 5"
"1812","8A753573754308161F59C91","60",2013-04-01,15000,372.71,7,"6 <= Score <= 8"
"1814","8A7B3591456330956AA6748","36",2013-10-22,6000,195.01,8,"6 <= Score <= 8"
"1821","7AD9357222604455666E5C5","60",2013-03-05,15000,302.64,8,"6 <= Score <= 8"
"1824","7AE43588067434955D5FDD7","60",2013-08-28,10000,223.41,6,"6 <= Score <= 8"
"1826","7B0935900615426911CE376","36",2013-09-30,15000,537.03,5,"3 <= Score <= 5"
"1827","7B0E3593384885253394DD9","60",2013-11-08,12000,307.34,3,"3 <= Score <= 5"
"1832","8A9D358894748237908E7BF","36",2013-10-02,7000,243.34,4,"3 <= Score <= 5"
"1835","8ABB3593273596378474AC2","60",2013-12-19,7900,200.39,4,"3 <= Score <= 5"
"1836","8AC03570640342641B885DA","60",2013-02-08,4000,115.03,5,"3 <= Score <= 5"
"1838","8ACD3595959513757428D61","60",2013-11-26,8000,202.93,4,"3 <= Score <= 5"
"1846","369B35834210793183F0E83","60",2013-07-17,35000,847.23,7,"6 <= Score <= 8"
"1858","31633598229538087694B5F","36",2013-12-24,4000,141.02,7,"6 <= Score <= 8"
"1859","31673594176129459A0B18B","60",2013-11-20,4000,97.7,8,"6 <= Score <= 8"
"1870","03EF3595279691784A6473B","36",2013-12-10,15000,491.01,7,"6 <= Score <= 8"
"1875","0B8E3576123730546861FA4","60",2013-04-17,12000,347.45,3,"3 <= Score <= 5"
"1876","0B94358586231004783EBF9","36",2013-09-06,7000,256.56,4,"3 <= Score <= 5"
"1882","0C2F35980965900029EA810","60",2013-12-27,20000,434.75,10,"Score >= 9"
"1890","35323590076532130913A39","60",2013-09-24,4000,99.3,7,"6 <= Score <= 8"
"1892","8ACF3593380844846ADD349","36",2013-11-07,4000,126.62,9,"Score >= 9"
"1893","8AD035972820668966D958E","36",2013-12-10,20000,649.01,11,"Score >= 9"
"1894","8AD6357988845285269FDC3","36",2013-06-18,15000,544.09,3,"3 <= Score <= 5"
"1895","8AD93588048915649E8819C","36",2013-08-30,2000,82.58,2,"1 <= Score <= 2"
"1897","8AEE3591373200471D27747","36",2013-10-21,20000,664.19,7,"6 <= Score <= 8"
