"","ListingKey","Term","LoanOriginationDate","LoanOriginalAmount","MonthlyLoanPayment","ProsperScore","ProsperRisk","LoanOriginalAmount_bins"
"10879","D41C3587658779762FAF563","36",2013-09-25,10000,326.87,9,"Score >= 9","5K-9.9K"
"10882","D43C359589843862852664C","36",2013-12-17,8000,243.56,11,"Score >= 9","5K-9.9K"
"10885","9FC43567985239179DC4E32","60",2013-01-14,4000,133.5,2,"1 <= Score <= 2","0K-4.9K"
"10965","9DF03591951700479FF8A1E","36",2013-10-25,10000,322.2,10,"Score >= 9","5K-9.9K"
"10998","CCEE3570735604781AEB7B2","36",2013-02-13,9500,293.29,10,"Score >= 9","5K-9.9K"
"11080","A0013586529784839BC34EF","36",2013-08-22,5500,169.8,10,"Score >= 9","5K-9.9K"
"11141","5D163593319442519325C16","36",2013-11-05,15000,480.42,11,"Score >= 9","10K-14.9K"
"11277","A3253585824353780EF15D8","60",2013-08-02,4000,126.04,2,"1 <= Score <= 2","0K-4.9K"
"11308","058235704200420183D7C19","60",2013-02-27,4000,126.04,2,"1 <= Score <= 2","0K-4.9K"
"11318","54CE35780145781835AC284","36",2013-05-07,4000,128.58,10,"Score >= 9","0K-4.9K"
"11320","16A13589716842088638E91","36",2013-10-01,2000,70.17,10,"Score >= 9","0K-4.9K"
"11323","16C9358483228185785D904","36",2013-07-29,5000,154.36,10,"Score >= 9","0K-4.9K"
"11356","E6D535933846085551D64CB","60",2013-11-08,4500,131.26,2,"1 <= Score <= 2","0K-4.9K"
"11393","A06835659786201536488DF","36",2013-01-07,4982,177.09,9,"Score >= 9","0K-4.9K"
"11505","5F6035737375030937C0F24","36",2013-03-18,9000,339.03,9,"Score >= 9","5K-9.9K"
"11522","16443597589423571FC085A","36",2013-12-11,6500,202.76,11,"Score >= 9","5K-9.9K"
"11573","9E703578211142406549A9C","36",2013-05-21,7000,213.08,9,"Score >= 9","5K-9.9K"
"11586","A0AF3584047762368CBDA13","60",2013-07-26,4000,121.47,2,"1 <= Score <= 2","0K-4.9K"
"11608","4986358671126236988D47D","60",2013-08-19,10000,293.87,2,"1 <= Score <= 2","5K-9.9K"
"11711","0D8A3591606917586CBB498","36",2013-10-30,15000,471.36,10,"Score >= 9","10K-14.9K"
"11734","9F863596608699598B038B8","36",2013-12-20,10000,319.4,10,"Score >= 9","5K-9.9K"
"11767","9EC83585071583472D5ED0E","60",2013-08-02,15000,455.52,2,"1 <= Score <= 2","10K-14.9K"
"11778","846C358350096472689FB22","60",2013-07-11,4000,130.2,2,"1 <= Score <= 2","0K-4.9K"
"11947","6F363592108953353155049","36",2013-11-01,15000,467.7,11,"Score >= 9","10K-14.9K"
"11971","0DCF3594327832339C96AA1","60",2013-11-08,6000,164.18,2,"1 <= Score <= 2","5K-9.9K"
"11986","05113589569985890E2C096","36",2013-10-01,14000,458.28,9,"Score >= 9","10K-14.9K"
"12038","A6663596912148281DD4135","36",2013-12-20,15000,479.09,10,"Score >= 9","10K-14.9K"
"12042","E0F235822214778395737CA","60",2013-07-01,4000,130.2,2,"1 <= Score <= 2","0K-4.9K"
"12091","053D3589337675385CEBE0F","36",2013-09-30,15000,526.25,11,"Score >= 9","10K-14.9K"
"12095","54A9357332589929947C334","36",2013-03-13,15000,469.98,9,"Score >= 9","10K-14.9K"
"12101","42213575235136144288111","36",2013-04-22,15000,473.44,9,"Score >= 9","10K-14.9K"
"12126","D42835855094145141A15F7","60",2013-08-08,4000,128.65,2,"1 <= Score <= 2","0K-4.9K"
"12142","0C6E3593267152169DF4C4B","36",2013-11-04,15000,471.36,11,"Score >= 9","10K-14.9K"
"12155","A1863595239005383AC8F37","36",2013-11-13,8000,267.59,10,"Score >= 9","5K-9.9K"
"12194","42363584353869919D00CF8","36",2013-07-16,15000,473.44,9,"Score >= 9","10K-14.9K"
"12249","83AA3593685084263FC56B9","36",2013-11-15,6000,219.03,9,"Score >= 9","5K-9.9K"
"12321","962C358844664315755985A","60",2013-09-13,4000,128.65,2,"1 <= Score <= 2","0K-4.9K"
"12331","0F463576867096652686316","36",2013-05-01,15000,482.18,9,"Score >= 9","10K-14.9K"
"12341","9D1C359657039021198D5DF","36",2013-12-04,15000,475.53,9,"Score >= 9","10K-14.9K"
"12355","CBA53592751568403CAD8D2","36",2013-11-07,4000,130.94,9,"Score >= 9","0K-4.9K"
"12399","17E43579659104324221392","60",2013-05-23,4000,131.78,2,"1 <= Score <= 2","0K-4.9K"
"12409","497A3582937667381D77C8D","60",2013-07-15,4000,131.78,2,"1 <= Score <= 2","0K-4.9K"
"12480","9F9C3582826754519C94392","60",2013-07-11,4000,128.65,2,"1 <= Score <= 2","0K-4.9K"
"12507","0E52359398880204346F22F","36",2013-11-20,14500,441.45,11,"Score >= 9","10K-14.9K"
"12510","49A13589836634625DC180A","36",2013-10-01,15000,498.14,10,"Score >= 9","10K-14.9K"
"12528","CA4D3589597289724D51DFF","36",2013-10-01,10000,320.28,9,"Score >= 9","5K-9.9K"
"12615","487A3572907040893A6064B","60",2013-04-04,4000,127.36,2,"1 <= Score <= 2","0K-4.9K"
"12638","A2A43576241564012D4FA61","36",2013-04-12,3200,100.26,10,"Score >= 9","0K-4.9K"
"12664","05E1357763558790644D60F","36",2013-06-06,4000,129.71,9,"Score >= 9","0K-4.9K"
"12682","A03D3596727686270D4013C","36",2013-12-06,6500,210.93,10,"Score >= 9","5K-9.9K"
"12697","15E73580429877643265D7F","36",2013-05-24,2000,61.75,10,"Score >= 9","0K-4.9K"
"12780","A08235761902898632303E3","36",2013-06-13,4000,126.25,10,"Score >= 9","0K-4.9K"
"12810","A0FF35880497937801394A2","60",2013-08-30,4000,124.76,2,"1 <= Score <= 2","0K-4.9K"
"12814","E23F357435894086400F971","36",2013-03-21,9500,297.65,9,"Score >= 9","5K-9.9K"
"12879","5EB83575740585246DA996F","36",2013-04-16,2000,66.46,9,"Score >= 9","0K-4.9K"
"13047","0E513582651109981F3E8CA","60",2013-07-16,15000,421.48,2,"1 <= Score <= 2","10K-14.9K"
"13064","05B63575794752332CCBA1F","60",2013-04-22,4000,130.2,2,"1 <= Score <= 2","0K-4.9K"
"13179","77F53584232104339D021C5","36",2013-09-26,14500,485.01,9,"Score >= 9","10K-14.9K"
"13182","8D783571531264059668A36","36",2013-03-11,12000,375.98,9,"Score >= 9","10K-14.9K"
"13252","D78135841880397383785FF","36",2013-08-02,8500,264.75,9,"Score >= 9","5K-9.9K"
"13332","715C35947404271343DD878","36",2013-11-13,13000,429.24,9,"Score >= 9","10K-14.9K"
"13348","CC0A3597677632348D64473","60",2013-12-26,15000,380.49,2,"1 <= Score <= 2","10K-14.9K"
"13360","06AA3567778895767CE80D9","36",2013-01-14,8000,250.29,10,"Score >= 9","5K-9.9K"
"13377","8E173583625460295505140","60",2013-07-18,6800,191.07,2,"1 <= Score <= 2","5K-9.9K"
"13378","8E3D3593058955408D258A2","36",2013-11-15,12000,374.16,11,"Score >= 9","10K-14.9K"
"13443","06423590749578231759418","36",2013-10-18,13000,416.37,9,"Score >= 9","10K-14.9K"
"13496","D574359669749639552929E","36",2013-12-30,3500,109.18,9,"Score >= 9","0K-4.9K"
"13502","DBBC35919317205285E62CC","36",2013-10-09,13000,416.37,9,"Score >= 9","10K-14.9K"
"13533","9B2A358797006080872ECF7","36",2013-09-04,15000,473.44,9,"Score >= 9","10K-14.9K"
"13549","06933590944718155674F29","36",2013-12-04,10000,324.51,10,"Score >= 9","5K-9.9K"
"13636","F1623591909878466A137DB","36",2013-10-16,5000,171.86,9,"Score >= 9","0K-4.9K"
"13679","65883587995284483D0997D","36",2013-08-27,10000,315.63,10,"Score >= 9","5K-9.9K"
"13801","65C93597540543774F8C501","36",2013-12-31,11000,362.16,11,"Score >= 9","10K-14.9K"
"13808","E8F63594286958139BCECD2","36",2013-11-12,4650,152.21,11,"Score >= 9","0K-4.9K"
"13814","0F6F3566451464399EDE98D","36",2013-01-08,10000,326.87,9,"Score >= 9","5K-9.9K"
"13848","F7FB3572250717927441352","60",2013-03-08,3500,97.84,2,"1 <= Score <= 2","0K-4.9K"
"13859","9A9C3573665362465CDD45F","36",2013-03-14,13800,447.49,9,"Score >= 9","10K-14.9K"
"13926","732335855077908316A0C3A","36",2013-07-25,2500,81.07,9,"Score >= 9","0K-4.9K"
"13951","A8193591974470329C32B62","36",2013-10-23,15000,491.01,11,"Score >= 9","10K-14.9K"
"14035","86CA3593864285301D1D07B","36",2013-11-14,10000,320.28,10,"Score >= 9","5K-9.9K"
"14115","484535954799474542E4235","60",2013-11-15,15000,404.54,1,"1 <= Score <= 2","10K-14.9K"
"14144","9AFC359406926210245FF92","36",2013-11-08,6500,218.98,9,"Score >= 9","5K-9.9K"
"14293","D80D3571585171335D1488E","60",2013-02-25,4000,127.36,2,"1 <= Score <= 2","0K-4.9K"
"14295","D81F3584080953948859FA3","60",2013-07-22,3500,113.93,2,"1 <= Score <= 2","0K-4.9K"
"14331","F82E3588656755138246341","60",2013-09-23,4000,107.88,2,"1 <= Score <= 2","0K-4.9K"
"14341","100C3590962366781223D5E","36",2013-10-17,12500,385.91,10,"Score >= 9","10K-14.9K"
"14408","497B3593827109251323B61","36",2013-11-29,10000,341.73,10,"Score >= 9","5K-9.9K"
"14533","AA963593653465628DCC7BB","36",2013-11-20,10000,304.45,11,"Score >= 9","5K-9.9K"
"14547","A6CD3577020421833974E1A","36",2013-05-03,15000,467.21,10,"Score >= 9","10K-14.9K"
"14743","C158359206964252147DAA7","36",2013-10-10,4000,133.8,10,"Score >= 9","0K-4.9K"
"14762","9C123596878981626694FEC","36",2013-12-18,15000,470.67,10,"Score >= 9","10K-14.9K"
"14857","1206357550616572455A5BD","36",2013-04-10,8000,243.52,10,"Score >= 9","5K-9.9K"
"14930","F9C735838588020808CF013","60",2013-07-23,4000,121.47,2,"1 <= Score <= 2","0K-4.9K"
"14939","EAD13597801434020957E48","36",2013-12-24,15000,456.67,11,"Score >= 9","10K-14.9K"
"15006","6FD535872032488041DF245","60",2013-08-29,2500,82.36,2,"1 <= Score <= 2","0K-4.9K"
"15067","07D835763356307895356E3","60",2013-05-17,4000,128.65,2,"1 <= Score <= 2","0K-4.9K"
"15110","11E13575489850579E8A52E","60",2013-04-17,4000,126.04,2,"1 <= Score <= 2","0K-4.9K"
"15212","99933589577523585AA9FFE","36",2013-09-17,10000,336.89,9,"Score >= 9","5K-9.9K"
"15215","99A135937172430840D89AF","36",2013-11-14,10000,311.8,11,"Score >= 9","5K-9.9K"
"15261","12DE35794174258569E922D","36",2013-05-23,13000,401.34,10,"Score >= 9","10K-14.9K"
"15296","60B33572087069951780001","36",2013-02-27,15000,463.09,10,"Score >= 9","10K-14.9K"
"15302","19953595116186443365DCB","36",2013-11-29,2000,62.76,10,"Score >= 9","0K-4.9K"
"15366","B1A93596475312206FDCB85","36",2013-12-19,9000,287.46,9,"Score >= 9","5K-9.9K"
"15378","07F435966841604476BED0F","36",2013-12-17,15000,470.67,10,"Score >= 9","10K-14.9K"
"15396","55D2358766233219147354A","36",2013-08-29,10000,315.63,9,"Score >= 9","5K-9.9K"
"15403","16E435962773358566AC907","36",2013-12-23,10000,305.54,10,"Score >= 9","5K-9.9K"
"15568","B21435911885305581EE737","36",2013-10-29,10000,330.19,10,"Score >= 9","5K-9.9K"
"15632","3718358409450593968721C","60",2013-07-24,4000,130.2,2,"1 <= Score <= 2","0K-4.9K"
"15641","CDC73569631135091E46FAF","60",2013-02-01,4000,130.15,2,"1 <= Score <= 2","0K-4.9K"
"15643","CDD73596001203418A3BE94","36",2013-11-29,2000,66.8,9,"Score >= 9","0K-4.9K"
"15687","083E3592277427176E5F07A","60",2013-10-18,4000,125.73,2,"1 <= Score <= 2","0K-4.9K"
"15733","E6D835664155750868B2020","36",2013-02-26,4500,138.93,10,"Score >= 9","0K-4.9K"
"15860","87BC3590189138920C819C0","36",2013-11-15,15000,558.6,10,"Score >= 9","10K-14.9K"
"16060","AFF2358947942302980CFF4","36",2013-10-02,2500,87.71,11,"Score >= 9","0K-4.9K"
"16070","9C39359116316662619D5D0","36",2013-10-11,10000,327.34,10,"Score >= 9","5K-9.9K"
"16078","6B633584931341369D346BC","60",2013-07-25,4000,128.65,2,"1 <= Score <= 2","0K-4.9K"
"16117","450235814336495507942E0","36",2013-07-05,2500,80.36,9,"Score >= 9","0K-4.9K"
"16132","1BE3358906749010267711D","36",2013-09-19,10000,332.1,9,"Score >= 9","5K-9.9K"
"16162","A8C43597064809844A676D4","36",2013-12-27,10000,327.34,9,"Score >= 9","5K-9.9K"
"16263","4AE63579603723380D783A3","36",2013-06-03,12000,392.24,9,"Score >= 9","10K-14.9K"
"16299","E0D43567015818439904E2A","36",2013-01-03,9000,284.69,10,"Score >= 9","5K-9.9K"
"16361","F66F3597649930443DDED68","36",2013-12-16,8000,259.6,11,"Score >= 9","5K-9.9K"
"16362","F6753566515229544C97779","36",2013-01-07,10000,316.32,10,"Score >= 9","5K-9.9K"
"16448","001035956771248700B020D","36",2013-12-04,4000,135.84,10,"Score >= 9","0K-4.9K"
"16455","1ACF3596028772925EE48F7","36",2013-12-23,9900,301.4,9,"Score >= 9","5K-9.9K"
"16475","A9C13596831268781D47629","36",2013-12-09,6000,187.16,10,"Score >= 9","5K-9.9K"
"16485","CFE73584658450008C2095C","60",2013-07-24,4000,126.04,2,"1 <= Score <= 2","0K-4.9K"
"16494","13A8359601627679435AF5F","36",2013-11-29,6500,202.76,11,"Score >= 9","5K-9.9K"
"16539","61813594761701662ADBDD3","36",2013-12-10,4500,144.99,11,"Score >= 9","0K-4.9K"
"16543","8DEF35933446879014A25E6","36",2013-11-04,7500,233.85,10,"Score >= 9","5K-9.9K"
"16562","1CB13575041225630065B2B","36",2013-04-08,5260,184.9,10,"Score >= 9","5K-9.9K"
"16584","AA273572720397772888FCD","36",2013-03-07,2000,68.93,9,"Score >= 9","0K-4.9K"
"16598","D00D35960155310922B2E37","36",2013-11-26,15000,470.67,9,"Score >= 9","10K-14.9K"
"16636","6AB53575235509841E121EC","36",2013-04-11,12000,370.47,10,"Score >= 9","10K-14.9K"
"16655","12523595850545670E5D806","36",2013-12-13,5000,159.7,9,"Score >= 9","0K-4.9K"
"16773","00053597801044938B84BE1","60",2013-12-23,10000,278.18,2,"1 <= Score <= 2","5K-9.9K"
"16821","984735863134948441F9F72","60",2013-08-29,4000,121.47,2,"1 <= Score <= 2","0K-4.9K"
"16834","13293590624379159039CCB","36",2013-11-13,15000,460.35,11,"Score >= 9","10K-14.9K"
"17004","4131359692660919348FF5F","36",2013-12-16,10000,304.45,11,"Score >= 9","5K-9.9K"
"17027","DBB935778664263021DFD57","36",2013-05-30,10000,334.49,9,"Score >= 9","5K-9.9K"
"17048","BA173584932067314714C30","36",2013-07-25,4000,172.76,9,"Score >= 9","0K-4.9K"
"17120","D0AB3584514449207B0901D","36",2013-07-22,8500,275.63,9,"Score >= 9","5K-9.9K"
"17140","B3473594878673465749A60","36",2013-11-29,5000,156.89,10,"Score >= 9","0K-4.9K"
"17151","8CDE3589750668435C0F4FB","36",2013-09-18,12000,396.23,9,"Score >= 9","10K-14.9K"
"17196","416735807301897288AEF07","36",2013-06-13,5000,157.81,9,"Score >= 9","0K-4.9K"
"17235","B37D35962553255170C1E8F","36",2013-12-09,11200,342.2,11,"Score >= 9","10K-14.9K"
"17248","59103593174413566DE5D66","36",2013-11-19,10000,334.49,10,"Score >= 9","5K-9.9K"
"17288","1D00357419748242214E1CE","36",2013-04-09,13000,417.89,9,"Score >= 9","10K-14.9K"
"17315","993235879009535759D46AF","36",2013-09-19,15000,467.21,9,"Score >= 9","10K-14.9K"
"17402","422535849531166977422D6","60",2013-08-01,4000,121.47,2,"1 <= Score <= 2","0K-4.9K"
"17503","156C356955809447116D951","36",2013-02-13,13000,409.72,10,"Score >= 9","10K-14.9K"
"17656","13393565779539552D88C8A","60",2013-01-03,13000,350.31,2,"1 <= Score <= 2","10K-14.9K"
"17662","135E3590014416918E3DD28","36",2013-09-30,15000,495.28,10,"Score >= 9","10K-14.9K"
"17689","9CA03587920847928188348","36",2013-08-29,2000,64.29,10,"Score >= 9","0K-4.9K"
"17789","9CA6356988605683860CAD6","60",2013-02-12,4000,127.36,2,"1 <= Score <= 2","0K-4.9K"
"17928","0212358786569337732B480","36",2013-08-30,10000,326.87,9,"Score >= 9","5K-9.9K"
"17956","1173359770484779676BE7F","60",2013-12-31,4000,122,2,"1 <= Score <= 2","0K-4.9K"
"18027","022D3589269264074E3CC1A","36",2013-09-18,9000,303.2,9,"Score >= 9","5K-9.9K"
"18056","F4943584785165651C78B87","60",2013-07-23,3000,89.45,2,"1 <= Score <= 2","0K-4.9K"
"18084","AA15359642674817699E34F","36",2013-12-12,10000,304.45,11,"Score >= 9","5K-9.9K"
"18095","87713583017491885D01EA6","60",2013-07-17,4000,131.78,2,"1 <= Score <= 2","0K-4.9K"
"18191","AA8C3572744201637FEE239","36",2013-03-05,3500,112.51,10,"Score >= 9","0K-4.9K"
"18192","13B835904636857126F395C","36",2013-10-10,15000,456.67,10,"Score >= 9","10K-14.9K"
"18201","879B3582929244563E3D772","36",2013-07-17,7500,236.72,9,"Score >= 9","5K-9.9K"
"18254","D1263585026946071D1F539","36",2013-07-26,2500,77.87,10,"Score >= 9","0K-4.9K"
"18303","87CA357674569232284B6DB","60",2013-05-02,2000,52.04,2,"1 <= Score <= 2","0K-4.9K"
"18389","AAEC357189947605386D8BB","36",2013-03-05,10000,326.87,9,"Score >= 9","5K-9.9K"
"18399","87F33582411047033991AFB","60",2013-07-18,4000,131.78,2,"1 <= Score <= 2","0K-4.9K"
"18401","87FC35867729766285702A3","36",2013-08-27,2000,61.75,10,"Score >= 9","0K-4.9K"
"18468","B97235949078980727AA9DE","36",2013-11-26,3000,94.97,10,"Score >= 9","0K-4.9K"
"18506","D23735897580100132636BF","60",2013-10-03,9000,271.01,2,"1 <= Score <= 2","5K-9.9K"
"18624","682635916806608580971C3","36",2013-10-10,8000,274.98,9,"Score >= 9","5K-9.9K"
"18676","B9FB35731711310257D22C3","36",2013-03-11,10000,321.45,9,"Score >= 9","5K-9.9K"
"18754","01D635785663253823194DB","36",2013-05-21,2000,62.3,10,"Score >= 9","0K-4.9K"
"18774","14BB35856602648063EC827","60",2013-08-05,4000,131.78,2,"1 <= Score <= 2","0K-4.9K"
"18782","BA0635984799742074A0FCC","36",2013-12-31,15000,467.9,9,"Score >= 9","10K-14.9K"
"18824","5AA13589857274188A29148","36",2013-09-13,12000,370.47,10,"Score >= 9","10K-14.9K"
"18825","D9FA3572998328110270756","36",2013-03-25,7000,220.94,9,"Score >= 9","5K-9.9K"
"18905","AC313597207475642F21576","36",2013-12-17,3000,98.2,10,"Score >= 9","0K-4.9K"
"18951","01C335927608311206007BF","36",2013-10-29,10000,336.89,9,"Score >= 9","5K-9.9K"
"19076","166335924668402009C2286","36",2013-10-22,6500,212.77,10,"Score >= 9","5K-9.9K"
"19159","F45E35756994562497773F4","36",2013-04-16,10000,324.27,9,"Score >= 9","5K-9.9K"
"19195","53523576647952321386B2A","60",2013-04-30,4000,124.76,2,"1 <= Score <= 2","0K-4.9K"
"19225","9DF7359772780000438504C","36",2013-12-23,6000,194.7,10,"Score >= 9","5K-9.9K"
"19289","A9BB35979712246862AFDDF","60",2013-12-31,15000,410.03,2,"1 <= Score <= 2","10K-14.9K"
"19293","A9D33590204385908CB47A4","36",2013-10-16,10500,327.39,11,"Score >= 9","10K-14.9K"
"19297","55E1357293735628962C5F6","60",2013-03-13,7000,202.68,2,"1 <= Score <= 2","5K-9.9K"
"19321","583C3585931932503EADAF5","36",2013-08-15,8000,249.18,9,"Score >= 9","5K-9.9K"
"19325","13133597944142742EC948E","36",2013-12-26,12000,368.28,10,"Score >= 9","10K-14.9K"
"19339","9E233571403546539FBF0E6","36",2013-03-05,15000,482.18,9,"Score >= 9","10K-14.9K"
"19398","AA023588801000051B44D59","60",2013-09-23,4000,121.47,2,"1 <= Score <= 2","0K-4.9K"
"19505","154F3596109323149B495F2","36",2013-12-10,3000,97.35,10,"Score >= 9","0K-4.9K"
"19530","683D357720717144654A114","60",2013-04-25,2500,79.6,2,"1 <= Score <= 2","0K-4.9K"
"19556","65243586607033209B5AC55","36",2013-08-26,10000,332.29,9,"Score >= 9","5K-9.9K"
"19564","EA933597618050963903554","36",2013-12-23,12000,368.28,10,"Score >= 9","10K-14.9K"
"19568","EAC63574782602107F5E3D4","36",2013-04-10,10000,324.27,9,"Score >= 9","5K-9.9K"
"19803","B4053579490146245FA2529","36",2013-05-29,6500,200.67,10,"Score >= 9","5K-9.9K"
"19842","605735952251716590A9753","36",2013-12-06,10000,334.01,9,"Score >= 9","5K-9.9K"
"19870","480B3575704156429C25B1C","36",2013-04-11,10000,319.12,9,"Score >= 9","5K-9.9K"
"19890","030435941626623941396E2","36",2013-11-20,10000,304.45,11,"Score >= 9","5K-9.9K"
"19916","A10935878869982574A3224","60",2013-08-28,4000,130.2,2,"1 <= Score <= 2","0K-4.9K"
"19934","B620359564973347494D50E","60",2013-12-04,15000,392.42,2,"1 <= Score <= 2","10K-14.9K"
"20028","16BA35827045609239877CC","36",2013-07-08,11500,375.9,9,"Score >= 9","10K-14.9K"
"20128","291F359625319736506B0DD","36",2013-12-04,10000,319.4,9,"Score >= 9","5K-9.9K"
"20129","29213592879139067AC2AE5","36",2013-11-13,7500,237.42,10,"Score >= 9","5K-9.9K"
"20139","C6EA35802662423324725B8","60",2013-05-30,10000,307.51,2,"1 <= Score <= 2","5K-9.9K"
"20244","C71B3574515167479C486F9","60",2013-04-04,3000,97.65,2,"1 <= Score <= 2","0K-4.9K"
"20259","BC4035786017105522FB44F","36",2013-05-13,15000,490.3,10,"Score >= 9","10K-14.9K"
"20265","B50A3590864111304DF9BF4","36",2013-10-16,2000,68.74,11,"Score >= 9","0K-4.9K"
"20326","2A533578765192077CFA9A0","60",2013-05-10,4000,127.36,2,"1 <= Score <= 2","0K-4.9K"
"20378","59023574390447159B60F20","60",2013-03-29,4000,127.36,2,"1 <= Score <= 2","0K-4.9K"
"20483","B2433588492076397AB30FA","36",2013-08-30,10000,321.45,9,"Score >= 9","5K-9.9K"
"20597","469F35849866048427050F3","60",2013-08-15,4000,128.65,2,"1 <= Score <= 2","0K-4.9K"
"20619","A0DB359586065129248F394","36",2013-12-02,15000,475.53,9,"Score >= 9","10K-14.9K"
"20636","D61C358567901599028ED02","60",2013-08-14,4000,126.04,2,"1 <= Score <= 2","0K-4.9K"
"20644","17363595835030259A3EBA3","36",2013-11-20,10000,322.2,10,"Score >= 9","5K-9.9K"
"20710","033F35943498900507C2ED8","36",2013-11-19,8000,267.59,10,"Score >= 9","5K-9.9K"
"20713","A0FD35679440674893ACED7","60",2013-01-11,4000,128.48,2,"1 <= Score <= 2","0K-4.9K"
"20756","A1AD3567120580403EFB39E","60",2013-01-25,9087,284.41,2,"1 <= Score <= 2","5K-9.9K"
"20793","46D63572351652389D24194","36",2013-03-12,10000,321.45,9,"Score >= 9","5K-9.9K"
"20832","167C35899336768316FF628","60",2013-10-24,10000,309.49,1,"1 <= Score <= 2","5K-9.9K"
"20863","B6943584373260627A4E64D","60",2013-07-23,15000,447.24,2,"1 <= Score <= 2","10K-14.9K"
"20880","FE7D3581917415469EE6547","60",2013-06-25,4000,128.65,2,"1 <= Score <= 2","0K-4.9K"
"20886","FEAB35809305319203079C5","60",2013-06-04,10000,303.68,2,"1 <= Score <= 2","5K-9.9K"
"20902","472E35749612116819E3E2C","60",2013-04-12,10000,260.18,2,"1 <= Score <= 2","5K-9.9K"
"20931","2A5B35744129625496A1C15","60",2013-03-20,10000,307.51,2,"1 <= Score <= 2","5K-9.9K"
"20932","2A673592648776610F1A6FD","36",2013-10-24,7000,213.11,11,"Score >= 9","5K-9.9K"
"20948","C8893584294720642389C81","60",2013-07-29,4000,130.2,2,"1 <= Score <= 2","0K-4.9K"
"21105","47C735837292143556D48DA","36",2013-07-22,4000,126.25,9,"Score >= 9","0K-4.9K"
"21280","BBDB3574267547631D5E851","36",2013-04-18,10000,303.18,10,"Score >= 9","5K-9.9K"
"21371","937E35904737068388180F1","36",2013-10-01,15000,512.59,9,"Score >= 9","10K-14.9K"
"21394","9D45359688619880846018A","36",2013-12-12,15000,528.84,9,"Score >= 9","10K-14.9K"
"21446","691C35925936043121E9D2C","36",2013-10-18,10000,336.89,9,"Score >= 9","5K-9.9K"
"21474","DA7835939317233295B6347","36",2013-11-05,10000,322.2,9,"Score >= 9","5K-9.9K"
"21523","039B359104956324704DA56","36",2013-11-20,12000,368.28,11,"Score >= 9","10K-14.9K"
"21563","2AF135756332599027E9408","60",2013-04-12,4000,127.36,2,"1 <= Score <= 2","0K-4.9K"
"21571","AE103585127804266F276E6","36",2013-08-01,5000,159.56,9,"Score >= 9","0K-4.9K"
"21608","B0E23596664917115E067FB","36",2013-12-18,13000,402.35,10,"Score >= 9","10K-14.9K"
"21618","6EB13580244769370944D84","36",2013-05-24,2000,61.75,10,"Score >= 9","0K-4.9K"
"21689","70A935954665149481E51B2","36",2013-11-19,7500,233.85,11,"Score >= 9","5K-9.9K"
"21695","A2FF3579312348322783BE6","36",2013-05-29,15000,467.21,10,"Score >= 9","10K-14.9K"
"21697","A3093580681810969ECEBCE","60",2013-06-04,4000,121.47,2,"1 <= Score <= 2","0K-4.9K"
"21735","047F357396561294682B5A2","60",2013-03-26,4000,130.2,2,"1 <= Score <= 2","0K-4.9K"
"21762","61443580670733077F0620A","36",2013-07-17,4000,126.25,10,"Score >= 9","0K-4.9K"
"21763","614635807607406779DAE00","36",2013-08-30,15000,498.43,10,"Score >= 9","10K-14.9K"
"21809","176535935208739817231DE","36",2013-11-26,4000,124.72,9,"Score >= 9","0K-4.9K"
"21814","74DF3575993329843C7A656","60",2013-04-09,4000,130.2,2,"1 <= Score <= 2","0K-4.9K"
"21839","03FE3566229932778009133","36",2013-01-04,10000,316.32,10,"Score >= 9","5K-9.9K"
"21850","495335753088150481EEBC9","36",2013-04-23,10000,313.32,10,"Score >= 9","5K-9.9K"
"21907","D6753586550981581DD00F4","60",2013-08-13,4000,130.2,2,"1 <= Score <= 2","0K-4.9K"
"22004","E7AE3587618547026B3C546","36",2013-09-04,10000,315.63,9,"Score >= 9","5K-9.9K"
"22028","D4723595131706761377315","36",2013-11-29,15000,501.01,9,"Score >= 9","10K-14.9K"
"22043","04E4357220961898627024B","36",2013-03-01,2000,64.29,9,"Score >= 9","0K-4.9K"
"22068","19373594986517892C64C52","60",2013-11-15,4000,104.87,2,"1 <= Score <= 2","0K-4.9K"
"22128","FA9C3566524521650D7DC00","60",2013-01-07,10000,296.86,2,"1 <= Score <= 2","5K-9.9K"
"22140","047A3594817070282031DE5","36",2013-11-13,6000,196.4,10,"Score >= 9","5K-9.9K"
"22147","4FD43596930800012FBDD48","36",2013-12-05,2000,62.76,10,"Score >= 9","0K-4.9K"
"22184","2B8635676675549993CF754","60",2013-01-10,10000,312.99,2,"1 <= Score <= 2","5K-9.9K"
"22235","74083596953013915BAD7F0","36",2013-12-09,2000,61.11,11,"Score >= 9","0K-4.9K"
"22292","2D6435841833033980092A3","60",2013-07-22,4000,126.04,2,"1 <= Score <= 2","0K-4.9K"
"22311","8B9D35786298123659C5D71","36",2013-06-03,10000,307.22,10,"Score >= 9","5K-9.9K"
"22423","FB9335911377360931CFB97","36",2013-10-30,15000,474.83,10,"Score >= 9","10K-14.9K"
"22447","50773593953260622AA90DB","60",2013-11-01,10000,286.46,1,"1 <= Score <= 2","5K-9.9K"
"22492","B57A358450922318227EFCB","36",2013-07-29,15000,482.18,9,"Score >= 9","10K-14.9K"
"22534","56AA359598644914376A128","36",2013-12-23,8000,259.6,10,"Score >= 9","5K-9.9K"
